step,midprice,bid,ask,inventory,cash,pnl,risk_adjusted_pnl,fills,adverse_selection_cost,incoming_order
0,100.00914151239263,99.895,100.105,0,0.0,0.0,0.0,0,0.0,
1,100.03165504826683,99.90414151239263,100.11414151239264,0,0.0,0.0,0.0,0,0.0,
2,99.97312399260721,99.92665504826682,100.13665504826683,0,0.0,0.0,0.0,0,0.0,
3,99.97695920470223,99.86812399260721,100.07812399260722,0,0.0,0.0,0.0,0,0.0,
4,99.9764551699771,99.87195920470222,100.08195920470223,0,0.0,0.0,0.0,0,0.0,
5,100.00283710922298,99.8714551699771,100.0814551699771,0,0.0,0.0,0.0,0,0.0,
6,100.00481803014982,99.89783710922298,100.10783710922298,0,0.0,0.0,0.0,0,0.0,
7,100.01884331041738,99.89981803014982,100.10981803014982,0,0.0,0.0,0.0,0,0.0,buy
8,100.01734553308779,99.91384331041738,100.12384331041739,0,0.0,0.0,0.0,0,0.0,
9,99.99691764675568,99.91234553308779,100.1223455330878,0,0.0,0.0,0.0,0,0.0,
10,99.99228176229362,99.89191764675567,100.10191764675568,0,0.0,0.0,0.0,0,0.0,
11,99.98171775577897,99.88728176229361,100.09728176229362,0,0.0,0.0,0.0,0,0.0,
12,99.99268107770989,99.87671775577897,100.08671775577898,0,0.0,0.0,0.0,0,0.0,sell
13,99.97731379583774,99.88768107770989,100.0976810777099,-1,100.0956810777099,0.11836728187215328,0.11786728187215328,1,0.0,buy
14,99.95210910152886,99.88731379583774,100.09731379583775,-1,100.0956810777099,0.14357197618103612,0.14307197618103612,1,0.0,buy
15,99.91697324641798,99.86210910152886,100.07210910152887,-1,100.0956810777099,0.17870783129191636,0.17820783129191636,1,0.0,sell
16,99.92353390431985,99.82697324641798,100.03697324641799,-1,100.0956810777099,0.17214717339004437,0.17164717339004437,1,0.0,
17,99.9302417707831,99.83353390431985,100.04353390431986,-1,100.0956810777099,0.16543930692679965,0.16493930692679964,1,0.0,buy
18,99.94918041755825,99.8402417707831,100.0502417707831,-1,100.0956810777099,0.14650066015164498,0.14600066015164498,1,0.0,
19,99.93959028106754,99.85918041755825,100.06918041755826,-1,100.0956810777099,0.15609079664235992,0.15559079664235992,1,0.0,
20,99.92042394562024,99.84959028106753,100.05959028106754,-1,100.0956810777099,0.175257132089655,0.174757132089655,1,0.0,sell
